,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction
186,186,32,24478.0,7.11,24.55,4.39,-1.42,6.53,24.55,Nakashima,Hit,Fore,Cross
187,187,32,24508.0,4.4,2.79,,,,,Nakashima,Bounce,,Cross
188,188,32,24522.0,3.82,-3.73,5.01,-3.73,5.66,25.95,Nakashima,Hit,Fore,Cross
189,189,32,24546.0,9.1,22.38,,,,,Nakashima,Bounce,,Cross
190,190,32,24554.0,10.56,26.67,4.95,-2.81,8.94,26.67,Nakashima,Hit,Fore,Cross
191,191,32,24580.0,5.04,5.91,,,,,Nakashima,Bounce,,Cross
192,192,32,24596.0,3.28,-0.38,4.66,-0.38,8.94,26.6,Nakashima,Hit,Fore,Cross
193,193,32,24617.0,2.35,20.13,,,,,Nakashima,Bounce,,Cross
194,194,32,24634.0,1.63,27.4,5.09,2.75,3.12,27.4,Nakashima,Hit,Back,Cross
195,195,32,24669.0,1.45,-2.58,,,,,Nakashima,Bounce,,Cross
196,196,34,25594.0,6.93,7.29,,,,,Nakashima,Bounce,,Cross
197,197,34,25606.0,9.53,1.34,9.68,1.34,3.85,23.43,Nakashima,Hit,Fore,Cross
198,198,34,25624.0,8.58,19.71,,,,,Nakashima,Bounce,,Cross
199,199,35,26171.0,4.92,6.7,,,,,Nakashima,Bounce,,Cross
200,200,35,26189.0,4.74,-0.62,3.88,-0.62,5.72,24.22,Nakashima,Hit,Back,Cross
201,201,35,26214.0,5.68,21.64,,,,,Nakashima,Bounce,,Cross
202,202,35,26221.0,5.78,25.38,4.92,-2.29,5.0,25.38,Nakashima,Hit,Fore,Cross
203,203,35,26252.0,7.93,2.93,,,,,Nakashima,Bounce,,Cross
204,204,35,26267.0,8.78,-1.78,7.77,-1.78,4.81,26.49,Nakashima,Hit,Back,Cross
205,205,35,26294.0,8.04,25.24,,,,,Nakashima,Bounce,,Cross
206,206,37,27126.0,7.23,8.28,,,,,Nakashima,Bounce,,Cross
207,207,37,27143.0,10.24,-0.78,8.83,-0.78,3.77,24.65,Nakashima,Hit,Back,Cross
208,208,37,27165.0,5.41,18.87,,,,,Nakashima,Bounce,,Cross
209,209,37,27181.0,3.7,25.85,6.82,-1.16,4.67,25.85,Nakashima,Hit,Back,Cross
210,210,37,27206.0,5.97,4.37,,,,,Nakashima,Bounce,,Cross
211,211,37,27219.0,6.44,-1.2,5.67,-1.2,5.39,26.43,Nakashima,Hit,Back,Cross
212,212,37,27242.0,8.11,21.02,,,,,Nakashima,Bounce,,Cross
213,213,37,27252.0,8.88,26.71,4.74,-2.06,7.68,26.71,Nakashima,Hit,Fore,Cross
214,214,37,27285.0,4.45,2.7,,,,,Nakashima,Bounce,,Cross
215,215,37,27299.0,3.61,-2.87,4.85,-2.87,6.34,26.44,Nakashima,Hit,Fore,Cross
216,216,37,27322.0,8.64,21.0,,,,,Nakashima,Bounce,,Cross
217,217,37,27334.0,10.5,27.44,4.55,-1.73,8.7,27.44,Nakashima,Hit,Fore,Cross
218,218,37,27360.0,8.61,4.85,,,,,Nakashima,Bounce,,Cross
219,219,37,27376.0,8.81,-2.15,7.29,-2.15,7.13,25.89,Nakashima,Hit,Back,Cross
220,220,37,27409.0,5.34,18.13,,,,,Nakashima,Bounce,,Cross
221,221,37,27423.0,4.73,23.39,6.86,-3.02,5.63,23.39,Nakashima,Hit,Back,Cross
222,222,37,27451.0,8.08,5.42,,,,,Nakashima,Bounce,,Cross
223,223,37,27469.0,10.42,-2.06,9.16,-2.06,4.92,25.1,Nakashima,Hit,Back,Cross
224,224,37,27492.0,2.42,20.11,,,,,Nakashima,Bounce,,Cross
225,225,37,27503.0,0.13,25.93,8.64,-1.8,1.43,25.93,Nakashima,Hit,Back,Cross
226,226,37,27533.0,3.93,2.93,,,,,Nakashima,Bounce,,Cross
227,227,37,27546.0,4.57,-2.21,5.93,-2.21,2.95,26.61,Nakashima,Hit,Fore,Cross
228,228,37,27567.0,7.93,21.57,,,,,Nakashima,Bounce,,Cross
229,229,37,27577.0,9.1,27.54,5.41,-1.67,7.38,27.54,Nakashima,Hit,Fore,Cross
230,230,37,27656.0,9.27,7.86,,,,,Nakashima,Bounce,,Cross
231,231,37,27689.0,11.22,9.22,10.71,9.22,6.44,26.53,Nishioka,Hit,Back,Cross
232,232,37,27698.0,3.72,19.44,,,,,Nishioka,Bounce,,Cross
233,233,39,28845.0,9.07,17.43,,,,,Nishioka,Bounce,,Cross
234,234,39,28854.0,11.78,23.22,4.76,-0.73,9.99,23.22,Nishioka,Hit,Fore,Cross
235,235,42,30168.0,7.81,17.11,,,,,Nishioka,Bounce,,Cross
236,236,42,30179.0,10.63,23.4,4.75,-0.65,9.57,23.4,Nishioka,Hit,Fore,Cross
237,237,42,30213.0,5.12,1.18,,,,,Nishioka,Bounce,,Cross
238,238,42,30224.0,4.85,-2.74,5.9,-2.74,6.66,25.01,Nishioka,Hit,Fore,Cross
239,239,42,30246.0,2.49,18.33,,,,,Nishioka,Bounce,,Cross
240,240,42,30261.0,1.84,25.78,6.59,-3.64,2.97,25.78,Nishioka,Hit,Back,Cross
241,241,42,30293.0,7.37,8.86,,,,,Nishioka,Bounce,,Cross
242,242,42,30318.0,10.84,1.81,9.87,1.81,4.44,25.41,Nishioka,Hit,Back,Cross
243,243,43,30993.0,1.73,17.28,,,,,Nishioka,Bounce,,Cross
244,244,43,31003.0,-1.18,26.68,7.1,-0.88,0.55,26.68,Nishioka,Hit,Back,Cross
245,245,43,31034.0,1.88,3.79,,,,,Nishioka,Bounce,,Cross
246,246,43,31053.0,2.43,-2.34,3.94,-2.34,3.33,26.48,Nishioka,Hit,Fore,Cross
247,247,43,31077.0,7.69,22.38,,,,,Nishioka,Bounce,,Cross
248,248,43,31086.0,9.12,27.33,4.36,-1.33,8.04,27.33,Nishioka,Hit,Fore,Cross
249,249,43,31112.0,6.13,5.65,,,,,Nishioka,Bounce,,Cross
250,250,43,31127.0,5.63,-0.43,6.71,-0.43,7.45,26.48,Nishioka,Hit,Fore,Cross
251,251,43,31148.0,1.57,18.07,,,,,Nishioka,Bounce,,Cross
252,252,44,31722.0,6.5,17.7,,,,,Nishioka,Bounce,,Cross
253,253,44,31732.0,7.99,25.44,4.74,-1.29,8.94,25.44,Nishioka,Hit,Back,Cross
254,254,44,31779.0,7.76,1.92,,,,,Nishioka,Bounce,,Cross
255,255,44,31798.0,8.58,-1.46,7.5,-1.46,4.93,26.55,Nishioka,Hit,Back,Cross
256,256,44,31818.0,3.51,18.18,,,,,Nishioka,Bounce,,Cross
257,257,44,31832.0,1.16,26.32,6.98,-1.21,2.52,26.32,Nishioka,Hit,Back,Cross
258,258,44,31857.0,2.65,6.91,,,,,Nishioka,Bounce,,Cross
259,259,44,31878.0,3.38,-1.11,4.68,-1.11,4.66,26.27,Nishioka,Hit,Fore,Cross
260,260,44,31906.0,9.3,22.31,,,,,Nishioka,Bounce,,Cross
261,261,44,31916.0,11.67,27.62,4.77,-2.13,9.45,27.62,Nishioka,Hit,Fore,Cross
262,262,44,31944.0,8.39,4.89,,,,,Nishioka,Bounce,,Cross
263,263,44,31959.0,8.35,-1.1,7.5,-1.1,8.98,27.12,Nishioka,Hit,Back,Cross
264,264,44,31969.0,5.43,7.54,,,,,Nishioka,Bounce,,Cross
265,265,45,32685.0,2.48,17.12,,,,,Nishioka,Bounce,,Cross
266,266,45,32697.0,-1.19,27.37,7.2,-0.81,1.06,27.37,Nishioka,Hit,Back,Cross
267,267,45,32740.0,6.28,6.36,,,,,Nishioka,Bounce,,Cross
268,268,45,32757.0,7.66,3.1,6.91,3.1,4.76,25.86,Nishioka,Hit,Back,Cross
269,269,45,32780.0,8.56,23.37,,,,,Nishioka,Bounce,,Cross
270,270,45,32783.0,8.85,25.32,6.48,5.59,7.65,25.32,Nishioka,Hit,Fore,Cross
271,271,45,32832.0,8.79,9.46,,,,,Nishioka,Bounce,,Cross
272,272,45,32845.0,9.38,9.62,8.0,9.62,6.39,21.99,Nishioka,Hit,Back,Cross
273,273,45,32862.0,2.35,19.71,,,,,Nishioka,Bounce,,Cross
274,274,46,33578.0,8.21,17.56,,,,,Nakashima,Bounce,,Cross
275,275,46,33589.0,11.44,25.65,4.77,-0.37,9.88,25.65,Nakashima,Hit,Fore,Cross
276,276,46,33621.0,4.31,0.84,,,,,Nakashima,Bounce,,Cross
277,277,46,33628.0,3.66,-1.86,4.84,-1.86,7.18,25.08,Nakashima,Hit,Fore,Cross
278,278,46,33656.0,3.85,19.48,,,,,Nakashima,Bounce,,Cross
279,279,46,33665.0,3.99,23.51,5.93,-4.03,5.03,23.51,Nakashima,Hit,Back,Cross
280,280,46,33690.0,3.23,1.45,,,,,Nakashima,Bounce,,Cross
281,281,46,33701.0,3.07,-4.2,4.25,-4.2,5.18,18.97,Nakashima,Hit,Fore,Cross
282,282,46,33718.0,,,,,,,Nakashima,NoBounce,,
283,283,46,33719.0,6.27,17.6,3.94,-3.93,5.71,17.6,Nakashima,Hit,Fore,Cross
284,284,46,33747.0,9.67,-1.56,,,,,Nakashima,Bounce,,Cross
285,285,49,35276.0,9.14,17.12,,,,,Nishioka,Bounce,,Cross
286,286,49,35288.0,12.94,25.62,4.68,-0.65,10.96,25.62,Nishioka,Hit,Fore,Cross
287,287,49,35316.0,5.56,4.21,,,,,Nishioka,Bounce,,Cross
288,288,49,35326.0,3.98,-0.56,3.51,-0.56,9.4,25.79,Nishioka,Hit,Back,Cross
289,289,49,35347.0,3.11,20.18,,,,,Nishioka,Bounce,,Cross
290,290,49,35360.0,2.52,27.1,4.63,-0.55,3.79,27.1,Nishioka,Hit,Back,Cross
291,291,49,35406.0,4.27,6.77,,,,,Nishioka,Bounce,,Cross
292,292,49,35429.0,4.29,0.35,5.88,0.35,4.91,27.14,Nishioka,Hit,Fore,Cross
293,293,49,35444.0,2.7,20.25,,,,,Nishioka,Bounce,,Cross
294,294,49,35456.0,0.98,27.79,5.91,2.75,2.61,27.79,Nishioka,Hit,Back,Cross
295,295,49,35485.0,0.65,9.61,,,,,Nishioka,Bounce,,Cross
296,296,51,36408.0,3.83,15.72,,,,,Nishioka,Bounce,,Cross
